resourceinstanceidfrom,relationshiptype,resourceinstanceidto,dateended,notes
43381171-8707-457e-a751-247a38bb5312,http://www.cidoc-crm.org/cidoc-crm/P67,5a07db82-a951-44e2-b466-8577a9139a4d,,
43381171-8707-457e-a751-247a38bb5312,http://www.cidoc-crm.org/cidoc-crm/P67,924c5d07-e71b-418c-a315-0afdc3bcc2e8,,
9cb3a349-e870-4529-97e8-fc7fd0a92050,http://www.cidoc-crm.org/cidoc-crm/P67,5a07db82-a951-44e2-b466-8577a9139a4d,,
9cb3a349-e870-4529-97e8-fc7fd0a92050,http://www.cidoc-crm.org/cidoc-crm/P67,924c5d07-e71b-418c-a315-0afdc3bcc2e8,,
2bee976b-1414-46d9-a0d0-a43840eee3ba,http://www.cidoc-crm.org/cidoc-crm/P67,5a07db82-a951-44e2-b466-8577a9139a4d,,
2bee976b-1414-46d9-a0d0-a43840eee3ba,http://www.cidoc-crm.org/cidoc-crm/P67,924c5d07-e71b-418c-a315-0afdc3bcc2e8,,
be60bf5d-e0e9-4faf-b39f-a54e1e40784c,http://www.cidoc-crm.org/cidoc-crm/P67,5a07db82-a951-44e2-b466-8577a9139a4d,,
be60bf5d-e0e9-4faf-b39f-a54e1e40784c,http://www.cidoc-crm.org/cidoc-crm/P67,924c5d07-e71b-418c-a315-0afdc3bcc2e8,,
be60bf5d-e0e9-4faf-b39f-a54e1e40784c,http://www.cidoc-crm.org/cidoc-crm/P67,3e18fc36-1987-4e45-8d77-bfacd91e95d3,,
c8abf2fc-bbf0-43bb-934b-995b4c58c587,http://www.cidoc-crm.org/cidoc-crm/P67,5a07db82-a951-44e2-b466-8577a9139a4d,,
c8abf2fc-bbf0-43bb-934b-995b4c58c587,http://www.cidoc-crm.org/cidoc-crm/P67,924c5d07-e71b-418c-a315-0afdc3bcc2e8,,
c8abf2fc-bbf0-43bb-934b-995b4c58c587,http://www.cidoc-crm.org/cidoc-crm/P67,3e18fc36-1987-4e45-8d77-bfacd91e95d3,,
4f60f641-0499-4189-86dd-0490cf84424c,http://www.cidoc-crm.org/cidoc-crm/P67,5a07db82-a951-44e2-b466-8577a9139a4d,,
4f60f641-0499-4189-86dd-0490cf84424c,http://www.cidoc-crm.org/cidoc-crm/P67,924c5d07-e71b-418c-a315-0afdc3bcc2e8,,
4f60f641-0499-4189-86dd-0490cf84424c,http://www.cidoc-crm.org/cidoc-crm/P67,3e18fc36-1987-4e45-8d77-bfacd91e95d3,,
5f14c20b-7eff-4f4b-b36a-6ae1080b49df,http://www.cidoc-crm.org/cidoc-crm/P67,5a07db82-a951-44e2-b466-8577a9139a4d,,
